entry,at,order
"Undealt cards:  [7♦, J♥, 2♣, 4♠, 8♦]",2024-12-16T21:11:17.038Z,173438347703800
"-- ending hand #161 --",2024-12-16T21:11:15.684Z,173438347568402
"""eike @ codPT618if"" collected 0.40 from pot",2024-12-16T21:11:15.684Z,173438347568401
"Uncalled bet of 0.80 returned to ""eike @ codPT618if""",2024-12-16T21:11:15.684Z,173438347568400
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:11:14.871Z,173438347487100
"""eike @ codPT618if"" raises to 1.00",2024-12-16T21:11:13.649Z,173438347364900
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:11:12.100Z,173438347210005
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:11:12.100Z,173438347210004
"Player stacks: #1 ""eike @ codPT618if"" (21.50) | #10 ""gtodev @ sVfd-WUsjU"" (18.50)",2024-12-16T21:11:12.100Z,173438347210001
"-- starting hand #161 (id: v9azxjramd1f)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:11:12.100Z,173438347210000
"""eike @ codPT618if"" shows a 8♣.",2024-12-16T21:11:10.237Z,173438347023700
"-- ending hand #160 --",2024-12-16T21:11:08.490Z,173438346849002
"""eike @ codPT618if"" collected 2.40 from pot",2024-12-16T21:11:08.490Z,173438346849001
"Uncalled bet of 4.00 returned to ""eike @ codPT618if""",2024-12-16T21:11:08.490Z,173438346849000
"""gtodev @ sVfd-WUsjU"" folds",2024-12-16T21:11:07.652Z,173438346765200
"""eike @ codPT618if"" bets 4.00",2024-12-16T21:11:05.399Z,173438346539900
"River: 5♥, 6♠, 9♠, 4♥ [7♠]",2024-12-16T21:10:58.576Z,173438345857600
"""eike @ codPT618if"" calls 1.00",2024-12-16T21:10:57.758Z,173438345775800
"""gtodev @ sVfd-WUsjU"" bets 1.00",2024-12-16T21:10:51.719Z,173438345171900
"""eike @ codPT618if"" checks",2024-12-16T21:10:49.623Z,173438344962300
"Turn: 5♥, 6♠, 9♠ [4♥]",2024-12-16T21:10:48.995Z,173438344899500
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:10:48.181Z,173438344818100
"""eike @ codPT618if"" checks",2024-12-16T21:10:47.087Z,173438344708700
"Flop:  [5♥, 6♠, 9♠]",2024-12-16T21:10:37.346Z,173438343734600
"""eike @ codPT618if"" checks",2024-12-16T21:10:36.519Z,173438343651900
"""gtodev @ sVfd-WUsjU"" calls 0.20",2024-12-16T21:10:35.635Z,173438343563500
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:10:34.473Z,173438343447305
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:10:34.473Z,173438343447304
"Player stacks: #1 ""eike @ codPT618if"" (20.30) | #10 ""gtodev @ sVfd-WUsjU"" (19.70)",2024-12-16T21:10:34.473Z,173438343447301
"-- starting hand #160 (id: qtlaqnlxj5n1)  (No Limit Texas Hold'em) (dealer: ""gtodev @ sVfd-WUsjU"") --",2024-12-16T21:10:34.473Z,173438343447300
"-- ending hand #159 --",2024-12-16T21:10:31.537Z,173438343153702
"""gtodev @ sVfd-WUsjU"" collected 0.80 from pot",2024-12-16T21:10:31.537Z,173438343153701
"Uncalled bet of 1.60 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:10:31.537Z,173438343153700
"""eike @ codPT618if"" folds",2024-12-16T21:10:30.712Z,173438343071200
"""gtodev @ sVfd-WUsjU"" bets 1.60",2024-12-16T21:10:29.799Z,173438342979900
"River: Q♣, K♦, 4♦, A♠ [2♠]",2024-12-16T21:10:25.658Z,173438342565800
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:10:24.795Z,173438342479500
"""gtodev @ sVfd-WUsjU"" bets 0.20",2024-12-16T21:10:23.436Z,173438342343600
"Turn: Q♣, K♦, 4♦ [A♠]",2024-12-16T21:10:22.851Z,173438342285100
"""eike @ codPT618if"" checks",2024-12-16T21:10:22.000Z,173438342200000
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:10:21.110Z,173438342111000
"Flop:  [Q♣, K♦, 4♦]",2024-12-16T21:10:20.126Z,173438342012600
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:10:19.298Z,173438341929800
"""eike @ codPT618if"" calls 0.20",2024-12-16T21:10:18.393Z,173438341839300
"""gtodev @ sVfd-WUsjU"" posts a big blind of 0.20",2024-12-16T21:10:17.247Z,173438341724705
"""eike @ codPT618if"" posts a small blind of 0.10",2024-12-16T21:10:17.247Z,173438341724704
"Player stacks: #1 ""eike @ codPT618if"" (20.70) | #10 ""gtodev @ sVfd-WUsjU"" (19.30)",2024-12-16T21:10:17.247Z,173438341724701
"-- starting hand #159 (id: tfzxcbnk2gbo)  (No Limit Texas Hold'em) (dealer: ""eike @ codPT618if"") --",2024-12-16T21:10:17.247Z,173438341724700
"-- ending hand #158 --",2024-12-16T21:10:14.316Z,173438341431602
"""gtodev @ sVfd-WUsjU"" collected 0.40 from pot",2024-12-16T21:10:14.316Z,173438341431601
"Uncalled bet of 0.20 returned to ""gtodev @ sVfd-WUsjU""",2024-12-16T21:10:14.316Z,173438341431600
"""eike @ codPT618if"" folds",2024-12-16T21:10:13.479Z,173438341347900
"""gtodev @ sVfd-WUsjU"" bets 0.20",2024-12-16T21:10:12.587Z,173438341258700
"""eike @ codPT618if"" checks",2024-12-16T21:10:11.150Z,173438341115000
"River: 2♥, A♣, J♣, 3♣ [4♦]",2024-12-16T21:10:10.502Z,173438341050200
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:10:09.682Z,173438340968200
"""eike @ codPT618if"" checks",2024-12-16T21:10:08.766Z,173438340876600
"Turn: 2♥, A♣, J♣ [3♣]",2024-12-16T21:10:08.100Z,173438340810000
"""gtodev @ sVfd-WUsjU"" checks",2024-12-16T21:10:07.290Z,173438340729000
"""eike @ codPT618if"" checks",2024-12-16T21:10:05.707Z,173438340570700
"Flop:  [2♥, A♣, J♣]",2024-12-16T21:10:05.119Z,173438340511900
"""eike @ codPT618if"" checks",2024-12-16T21:10:04.302Z,173438340430200
"""gtodev @ sVfd-WUsjU"" calls 0.20",2024-12-16T21:10:03.319Z,173438340331900
"""eike @ codPT618if"" posts a big blind of 0.20",2024-12-16T21:10:01.708Z,173438340170805
"""gtodev @ sVfd-WUsjU"" posts a small blind of 0.10",2024-12-16T21:10:01.708Z,173438340170804
